SIZE,ROW_N_A,COL_N_A,COL_N_B,BLOCK_ROW_N,BLOCK_COL_N,time
1,1024,1024,1024,16,16,4.678374
1,1024,1024,1024,64,64,4.533568
1,1024,1024,1024,256,256,5.039735
2,1024,2048,1024,16,16,6.769754
2,1024,2048,1024,64,64,4.690493
2,1024,2048,1024,256,256,5.070163
4,1024,4096,1024,16,16,11.044230
4,1024,4096,1024,64,64,5.047559
4,1024,4096,1024,256,256,5.224055
8,1024,8192,1024,16,16,22.137352
8,1024,8192,1024,64,64,5.934421
8,1024,8192,1024,256,256,5.467818
16,1024,16384,1024,16,16,29.150982
16,1024,16384,1024,64,64,6.898338
16,1024,16384,1024,256,256,5.674519
32,1024,32768,1024,16,16,106.313141
32,1024,32768,1024,64,64,11.906948
32,1024,32768,1024,256,256,6.182469
64,1024,65536,1024,16,16,268.499512
64,1024,65536,1024,64,64,23.192295
64,1024,65536,1024,256,256,7.494873
128,1024,131072,1024,16,16,523.255432
128,1024,131072,1024,64,64,40.249199
128,1024,131072,1024,256,256,8.998576
256,1024,262144,1024,16,16,1185.109131
256,1024,262144,1024,64,64,82.800079
256,1024,262144,1024,256,256,12.797243
